"entity_id","owner_id","type","pid","shared_cost","repair_cost","water_level","temperature"
"house-1","owner-house-1","house","10000","0","500","0","-9.937699396628886"
"heater-1","settlement","heater","20000","0","0","",""
"kettle-1","settlement","kettle","20001","0","0","",""
"civilian-1","settlement","civilian","30000","0","0","",""
"house-2","owner-house-2","house","10001","0","500","0","-9.764583591837436"
"heater-2","settlement","heater","20002","0","0","",""
"kettle-2","settlement","kettle","20003","0","0","",""
"civilian-2","settlement","civilian","30001","0","0","",""
"house-3","owner-house-3","house","10002","0","500","0","-9.907067507272586"
"heater-3","settlement","heater","20004","0","0","",""
"kettle-3","settlement","kettle","20005","0","0","",""
"civilian-3","settlement","civilian","30002","0","0","",""
"house-4","owner-house-4","house","10003","0","500","0","-10"
"heater-4","settlement","heater","20006","0","0","",""
"kettle-4","settlement","kettle","20007","0","0","",""
"civilian-4","settlement","civilian","30003","0","0","",""
"house-5","owner-house-5","house","10004","0","500","0","-9.34874863224104"
"heater-5","settlement","heater","20008","0","0","",""
"kettle-5","settlement","kettle","20009","0","0","",""
"civilian-5","settlement","civilian","30004","0","0","",""
"house-6","owner-house-6","house","10005","0","500","0","-10"
"heater-6","settlement","heater","20010","0","0","",""
"kettle-6","settlement","kettle","20011","0","0","",""
"civilian-6","settlement","civilian","30005","0","0","",""
"house-7","owner-house-7","house","10006","0","500","0","-9.706175555475056"
"heater-7","settlement","heater","20012","0","0","",""
"kettle-7","settlement","kettle","20013","0","0","",""
"civilian-7","settlement","civilian","30006","0","0","",""
"house-8","owner-house-8","house","10007","0","500","0","-9.968882768182084"
"heater-8","settlement","heater","20014","0","0","",""
"kettle-8","settlement","kettle","20015","0","0","",""
"civilian-8","settlement","civilian","30007","0","0","",""
"house-9","owner-house-9","house","10008","0","500","0","-9.58601877419278"
"heater-9","settlement","heater","20016","0","0","",""
"kettle-9","settlement","kettle","20017","0","0","",""
"civilian-9","settlement","civilian","30008","0","0","",""
"house-10","owner-house-10","house","10009","0","500","0","-9.48949196212925"
"heater-10","settlement","heater","20018","0","0","",""
"kettle-10","settlement","kettle","20019","0","0","",""
"civilian-10","settlement","civilian","30009","0","0","",""
"house-11","owner-house-11","house","10010","0","500","0","-9.435248596593738"
"heater-11","settlement","heater","20020","0","0","",""
"kettle-11","settlement","kettle","20021","0","0","",""
"civilian-11","settlement","civilian","30010","0","0","",""
"house-12","owner-house-12","house","10011","0","500","0","-9.552806346444413"
"heater-12","settlement","heater","20022","0","0","",""
"kettle-12","settlement","kettle","20023","0","0","",""
"civilian-12","settlement","civilian","30011","0","0","",""
"house-13","owner-house-13","house","10012","0","500","0","-9.37048305477947"
"heater-13","settlement","heater","20024","0","0","",""
"kettle-13","settlement","kettle","20025","0","0","",""
"civilian-13","settlement","civilian","30012","0","0","",""
"house-14","owner-house-14","house","10013","0","500","0","-9.656732019269839"
"heater-14","settlement","heater","20026","0","0","",""
"kettle-14","settlement","kettle","20027","0","0","",""
"civilian-14","settlement","civilian","30013","0","0","",""
"house-15","owner-house-15","house","10014","0","500","0","-9.801170173333958"
"heater-15","settlement","heater","20028","0","0","",""
"kettle-15","settlement","kettle","20029","0","0","",""
"civilian-15","settlement","civilian","30014","0","0","",""
"house-16","owner-house-16","house","10015","0","500","0","-9.68489594035782"
"heater-16","settlement","heater","20030","0","0","",""
"kettle-16","settlement","kettle","20031","0","0","",""
"civilian-16","settlement","civilian","30015","0","0","",""
"house-17","owner-house-17","house","10016","0","500","0","-10"
"heater-17","settlement","heater","20032","0","0","",""
"kettle-17","settlement","kettle","20033","0","0","",""
"civilian-17","settlement","civilian","30016","0","0","",""
"house-18","owner-house-18","house","10017","0","500","0","-9.70296327804681"
"heater-18","settlement","heater","20034","0","0","",""
"kettle-18","settlement","kettle","20035","0","0","",""
"civilian-18","settlement","civilian","30017","0","0","",""
"house-19","owner-house-19","house","10018","0","500","0","-9.508226934820414"
"heater-19","settlement","heater","20036","0","0","",""
"kettle-19","settlement","kettle","20037","0","0","",""
"civilian-19","settlement","civilian","30018","0","0","",""
"house-20","owner-house-20","house","10019","0","500","0","-9.33582614432089"
"heater-20","settlement","heater","20038","0","0","",""
"kettle-20","settlement","kettle","20039","0","0","",""
"civilian-20","settlement","civilian","30019","0","0","",""
"house-21","owner-house-21","house","10020","0","500","0","-10"
"heater-21","settlement","heater","20040","0","0","",""
"kettle-21","settlement","kettle","20041","0","0","",""
"civilian-21","settlement","civilian","30020","0","0","",""
"house-22","owner-house-22","house","10021","0","500","0","-10"
"heater-22","settlement","heater","20042","0","0","",""
"kettle-22","settlement","kettle","20043","0","0","",""
"civilian-22","settlement","civilian","30021","0","0","",""
"house-23","owner-house-23","house","10022","0","500","0","-9.705276601947844"
"heater-23","settlement","heater","20044","0","0","",""
"kettle-23","settlement","kettle","20045","0","0","",""
"civilian-23","settlement","civilian","30022","0","0","",""
"house-24","owner-house-24","house","10023","0","500","0","-9.500151203828864"
"heater-24","settlement","heater","20046","0","0","",""
"kettle-24","settlement","kettle","20047","0","0","",""
"civilian-24","settlement","civilian","30023","0","0","",""
"house-25","owner-house-25","house","10024","0","500","0","-9.851643688045442"
"heater-25","settlement","heater","20048","0","0","",""
"kettle-25","settlement","kettle","20049","0","0","",""
"civilian-25","settlement","civilian","30024","0","0","",""
"house-26","owner-house-26","house","10025","0","500","0","-9.593893133685924"
"heater-26","settlement","heater","20050","0","0","",""
"kettle-26","settlement","kettle","20051","0","0","",""
"civilian-26","settlement","civilian","30025","0","0","",""
"house-27","owner-house-27","house","10026","0","500","0","-10"
"heater-27","settlement","heater","20052","0","0","",""
"kettle-27","settlement","kettle","20053","0","0","",""
"civilian-27","settlement","civilian","30026","0","0","",""
"house-28","owner-house-28","house","10027","0","500","0","-9.788181338110007"
"heater-28","settlement","heater","20054","0","0","",""
"kettle-28","settlement","kettle","20055","0","0","",""
"civilian-28","settlement","civilian","30027","0","0","",""
"house-29","owner-house-29","house","10028","0","500","0","-9.316181948408484"
"heater-29","settlement","heater","20056","0","0","",""
"kettle-29","settlement","kettle","20057","0","0","",""
"civilian-29","settlement","civilian","30028","0","0","",""
"house-30","owner-house-30","house","10029","0","500","0","-10"
"heater-30","settlement","heater","20058","0","0","",""
"kettle-30","settlement","kettle","20059","0","0","",""
"civilian-30","settlement","civilian","30029","0","0","",""
"house-31","owner-house-31","house","10030","0","500","0","-9.514419242041185"
"heater-31","settlement","heater","20060","0","0","",""
"kettle-31","settlement","kettle","20061","0","0","",""
"civilian-31","settlement","civilian","30030","0","0","",""
"house-32","owner-house-32","house","10031","0","500","0","-9.836164512555115"
"heater-32","settlement","heater","20062","0","0","",""
"kettle-32","settlement","kettle","20063","0","0","",""
"civilian-32","settlement","civilian","30031","0","0","",""
"house-33","owner-house-33","house","10032","0","500","0","-9.765063273720443"
"heater-33","settlement","heater","20064","0","0","",""
"kettle-33","settlement","kettle","20065","0","0","",""
"civilian-33","settlement","civilian","30032","0","0","",""
"house-34","owner-house-34","house","10033","0","500","0","-8.93514070881065"
"heater-34","settlement","heater","20066","0","0","",""
"kettle-34","settlement","kettle","20067","0","0","",""
"civilian-34","settlement","civilian","30033","0","0","",""
"house-35","owner-house-35","house","10034","0","500","0","-9.602374576032162"
"heater-35","settlement","heater","20068","0","0","",""
"kettle-35","settlement","kettle","20069","0","0","",""
"civilian-35","settlement","civilian","30034","0","0","",""
"house-36","owner-house-36","house","10035","0","500","0","-9.59544006024953"
"heater-36","settlement","heater","20070","0","0","",""
"kettle-36","settlement","kettle","20071","0","0","",""
"civilian-36","settlement","civilian","30035","0","0","",""
"house-37","owner-house-37","house","10036","0","500","0","-10"
"heater-37","settlement","heater","20072","0","0","",""
"kettle-37","settlement","kettle","20073","0","0","",""
"civilian-37","settlement","civilian","30036","0","0","",""
"house-38","owner-house-38","house","10037","0","500","0","-10"
"heater-38","settlement","heater","20074","0","0","",""
"kettle-38","settlement","kettle","20075","0","0","",""
"civilian-38","settlement","civilian","30037","0","0","",""
"house-39","owner-house-39","house","10038","0","500","0","-9.990716383093968"
"heater-39","settlement","heater","20076","0","0","",""
"kettle-39","settlement","kettle","20077","0","0","",""
"civilian-39","settlement","civilian","30038","0","0","",""
"house-40","owner-house-40","house","10039","0","500","0","-9.232650371501222"
"heater-40","settlement","heater","20078","0","0","",""
"kettle-40","settlement","kettle","20079","0","0","",""
"civilian-40","settlement","civilian","30039","0","0","",""
"house-41","owner-house-41","house","10040","0","500","0","-9.883878180291504"
"heater-41","settlement","heater","20080","0","0","",""
"kettle-41","settlement","kettle","20081","0","0","",""
"civilian-41","settlement","civilian","30040","0","0","",""
"house-42","owner-house-42","house","10041","0","500","0","-9.843707660562359"
"heater-42","settlement","heater","20082","0","0","",""
"kettle-42","settlement","kettle","20083","0","0","",""
"civilian-42","settlement","civilian","30041","0","0","",""
"house-43","owner-house-43","house","10042","0","500","0","-9.588833244517446"
